id;code;description;rec_box_2;rec_box_4
1;1;"Если срок просрочки по активным кредитам (D1) равен одному из следующих значений: 0-1 при этом хотябы одно из полей  А6;А8;А10;А12;А14;А16 имеет значение: 1";"У вас отсутствуют непогашенные просрочки по действующим кредитам - это положительный фактор, который увеличивает вероятность одобрения вам новых кредитов";""
2;2;"Если срок просрочки по активным кредитам (D1) равен одному из следующих значений: А-В-С или 2 при этом хотябы одно из полей  А6;А8;А10;А12;А14;А16 имеет значение: 1";"У вас зафиксирована незначительная непогашенная просрочка платежей как минимум по одному из действующих кредитов. Это может послужить основной причиной для отказа в выдаче вам новых кредитов";"Рекомендуем погасить текущую просрочку, чтобы предотвратить ухудшение вашего кредитного рейтинга.

Если в настоящее время вы планировали обращаться за получением нового кредита, то рекомендуем вам обратить внимание на предложения от наших банков-партнеров, список которых представлен ниже"
3;3;"Если срок просрочки по активным кредитам (D1) равен одному из следующих значений: 3-4 при этом хотябы одно из полей  А6;А8;А10;А12;А14;А16 имеет значение: 1";"У вас как минимум по одному из действующих кредитов зафиксирована непогашенная просрочка продолжительностью более двух месяцев. Этот негативный фактор может стать для банков основной причиной при отказе в выдаче вам новых кредитов";"Рекомендуем вам срочно погасить текущую просрочку, это поможет значительно улучшить кредитный рейтинг и увеличит вероятность одобрения вам новых кредитов"
4;4;"Если срок просрочки по активным кредитам (D1) равен одному из следующих значений: 5 или 9 при этом хотябы одно из полей  А6;А8;А10;А12;А14;А16 имеет значение: 1";"У вас как минимум по одному из действующих кредитов зафиксирована непогашенная просрочка продолжительностью более трех месяцев. Этот крайне негативный фактор является для банков основной причиной отказа в выдаче вам новых кредитов";"Рекомендуем срочно погасить текущую просрочку и обратиться в банк с запросом на реструктуризацию вашей задолженности. Необходимо использовать любые существующие в банке возможности выхода из просрочки в целях предотвращения осложнения ситуации, в том числе передачи кредита на взыскание в коллекторское агентство или в суд"
5;5;"Закрытые кредиты есть (хотя бы один из А7;А9;А11;А13;А15;А17 содержит значение 1) Просрочка по всем кредитам доработанный (D3) имеет значение: 0-1";"У вас отсутствуют просрочки по закрытым ранее кредитам - это положительный фактор, который увеличивает вероятность одобрения вам новых кредитов";""
6;6;"Закрытые кредиты есть (хотя бы один из А7;А9;А11;А13;А15;А17 содержит значение 1) Просрочка по всем кредитам доработанный (D3) имеет значение: А-В-С-2-3";"У Вас зафиксированы незначительные просрочки в истории закрытых ранее кредитов. Это является негативным, но не критичным фактором и может послужить причиной для отказа Вам в одобрении нового кредита.";""
7;7;"Закрытые кредиты есть (хотя бы один из А7;А9;А11;А13;А15;А17 содержит значение 1) Просрочка по всем кредитам доработанный (D3) имеет значение: 4-5 и 9";"У вас зафиксированы значительные просрочки в истории закрытых ранее кредитов. Это крайне негативный фактор, который может стать для банка основной причиной отказа в выдаче вам новых кредитов";""
8;8;"Если (D4) код - 1";"В вашей кредитной истории есть как минимум один кредит, который был признан безнадежным долгом. Это крайне негативный фактор, который является для банка основной причиной отказа в выдаче вам новых кредитов";""
9;9;"Если (A10) код равен 1";"<b>ПРО ЗАЙМЫ:</b> В моменте у вас есть минимум один активный микрозайм, полученный в микрофинансовой организации. Это является не критичным, но негативным фактором при оценке вашей кредитоспособности";"<b>ПРО ЗАЙМЫ:</b> с октября 2019 года банки начали считать показатель долговой нагрузки. По микрозаймам ставка и размер периодического платежа, как правило, очень высоки, что негативно отражается на вероятности одобрения новых кредитов в банках. Если вы уже получали отказы в выдаче кредита в банке, имея активные микрозаймы, то рекомендуем сначала погасить займы и через 1-2 месяца подавать в банк заявку на кредит"
10;10;"Если I1 (запросы за последние 7 дней)  ИЛИ  I2 (запросы за последние 14 дней) более 10 запросов  - негативный фактор";"<b>ПРО ЗАПРОСЫ НА НОВЫЕ КРЕДИТЫ:</b> в последнее время зафиксировано большое количество запросов вашей кредитной истории со стороны кредитных организаций, что характеризует ваш интерес к получению новых кредитов. В отдельности это не является негативным фактором для банков, однако в совокупности с негативными факторами (такими как: появление просрочек по действующим кредитам, появление активных микрозаймов и так далее) может послужить причиной отказа в выдаче вам новых кредитов";""
11;11;"Если (А1 >= 4) активные кредиты  ИЛИ (А1 >= 3 И А2 >= 3) активные кредиты и поручительство";"<b>ПРО КРЕДИТНУЮ НАГРУЗКУ:</b> На текущий момент у вас установлена высокая степень закредитованности.
Оценивается закредитованность банками на основании данных о количестве всех активных кредитов, где вы являетесь непосредственно заемщиком, а также на основании чужих кредитов, где вы являетесь поручителем";"<b>ПРО КРЕДИТНУЮ НАГРУЗКУ:</b> В отдельности это не является негативным фактором для банков. Снижение степени закредитованности возможно через досрочное погашение части активных кредитов, а также через существующие программы рефинансирования. 
В настоящее время существуют специальные программы кредитования, смысл которых заключается выдаче одного кредита на погашение нескольких существующих кредитов. Зачастую такие кредиты банки выдают в размере необходимом для погашения всех действующих кредитов или более, а также на более долгий срок, чем существующие кредиты - что позволяет снизить общий размер ваших ежемесячных расходов на платежи по кредитам"